ID,Drug
241,DB00563
242,DB00564
243,DB00569
244,DB00570
245,DB00571
246,DB00572
247,DB00573
248,DB00575
249,DB00583
250,DB00584
251,DB00585
252,DB00586
253,DB00588
254,DB00589
255,DB00590
256,DB00591
257,DB00593
258,DB00594
259,DB00596
260,DB00598
261,DB00603
262,DB00604
263,DB00605
264,DB00608
265,DB00611
266,DB00612
267,DB00619
268,DB00620
269,DB00622
270,DB00623
271,DB00624
272,DB00627
273,DB00630
274,DB00631
275,DB00635
276,DB00636
277,DB00637
278,DB00638
279,DB00640
280,DB00641
281,DB00642
282,DB00644
283,DB00647
284,DB00650
285,DB00651
286,DB00652
287,DB00653
288,DB00654
289,DB00655
290,DB00657
291,DB00659
292,DB00661
293,DB00663
294,DB00668
295,DB00669
296,DB00672
297,DB00674
298,DB00675
299,DB00678
300,DB00679
301,DB00682
302,DB00686
303,DB00687
304,DB00691
305,DB00692
306,DB00694
307,DB00695
308,DB00696
309,DB00697
310,DB00699
311,DB00704
312,DB00706
313,DB00710
314,DB00712
315,DB00714
316,DB00715
317,DB00716
318,DB00717
319,DB00719
320,DB00721
321,DB00722
322,DB00724
323,DB00727
324,DB00731
325,DB00733
326,DB00734
327,DB00736
328,DB00741
329,DB00744
330,DB00745
331,DB00747
332,DB00748
333,DB00749
334,DB00750
335,DB00751
336,DB00754
337,DB00755
338,DB00757
339,DB00758
340,DB00759
341,DB00762
342,DB00763
343,DB00764
344,DB00765
345,DB00767
346,DB00768
347,DB00770
348,DB00771
349,DB00773
350,DB00775
351,DB00776
352,DB00780
353,DB00783
354,DB00784
355,DB00787
356,DB00788
357,DB00790
358,DB00794
359,DB00795
360,DB00796
361,DB00800
362,DB00804
363,DB00806
364,DB00808
365,DB00810
366,DB00813
367,DB00814
368,DB00816
369,DB00819
370,DB00820
371,DB00822
372,DB00829
373,DB00831
374,DB00834
375,DB00835
376,DB00839
377,DB00843
378,DB00844
379,DB00846
380,DB00847
381,DB00848
382,DB00851
383,DB00852
384,DB00853
385,DB00856
386,DB00859
387,DB00860
388,DB00861
389,DB00863
390,DB00864
391,DB00865
392,DB00868
393,DB00869
394,DB00871
395,DB00873
396,DB00876
397,DB00880
398,DB00881
399,DB00882
400,DB00883
401,DB00884
402,DB00887
403,DB00888
404,DB00889
405,DB00898
406,DB00899
407,DB00903
408,DB00904
409,DB00905
410,DB00906
411,DB00907
412,DB00908
413,DB00909
414,DB00912
415,DB00915
416,DB00917
417,DB00918
418,DB00920
419,DB00921
420,DB00924
421,DB00925
422,DB00927
423,DB00928
424,DB00929
425,DB00933
426,DB00936
427,DB00937
428,DB00938
429,DB00939
430,DB00945
431,DB00947
432,DB00949
433,DB00950
434,DB00952
435,DB00953
436,DB00956
437,DB00957
438,DB00958
439,DB00959
440,DB00960
441,DB00963
442,DB00966
443,DB00967
444,DB00968
445,DB00969
446,DB00972
447,DB00973
448,DB00975
449,DB00977
450,DB00982
451,DB00983
452,DB00984
453,DB00987
454,DB00988
455,DB00989
456,DB00990
457,DB00991
458,DB00992
459,DB00993
460,DB00995
461,DB00996
462,DB00997
463,DB00998
464,DB00999
465,DB01001
466,DB01002
467,DB01003
468,DB01005
469,DB01006
470,DB01008
471,DB01009
472,DB01012
473,DB01013
474,DB01014
475,DB01016
476,DB01017
477,DB01018
478,DB01019
479,DB01020
480,DB01023
481,DB01026
482,DB01029
483,DB01030
484,DB01033
485,DB01035
486,DB01037
487,DB01039
488,DB01041
489,DB01042
490,DB01043
491,DB01045
492,DB01046
493,DB01050
494,DB01058
495,DB01062
496,DB01063
497,DB01064
498,DB01065
499,DB01067
500,DB01068
501,DB01069
502,DB01070
503,DB01071
504,DB01072
505,DB01073
506,DB01075
507,DB01076
508,DB01077
509,DB01080
510,DB01083
511,DB01084
512,DB01085
513,DB01086
514,DB01088
515,DB01095
516,DB01098
517,DB01099
518,DB01101
519,DB01104
520,DB01105
521,DB01106
522,DB01110
523,DB01113
524,DB01114
525,DB01115
526,DB01118
527,DB01120
528,DB01122
529,DB01124
530,DB01125
531,DB01128
532,DB01129
533,DB01132
534,DB01133
535,DB01136
536,DB01137
537,DB01142
538,DB01143
539,DB01144
540,DB01146
541,DB01148
542,DB01151
543,DB01156
544,DB01157
545,DB01161
546,DB01162
547,DB01165
548,DB01167
549,DB01169
550,DB01170
551,DB01173
552,DB01174
553,DB01175
554,DB01176
555,DB01177
556,DB01181
557,DB01182
558,DB01185
559,DB01186
560,DB01188
561,DB01189
562,DB01192
563,DB01193
564,DB01194
565,DB01195
566,DB01196
567,DB01197
568,DB01200
569,DB01202
570,DB01203
571,DB01204
572,DB01210
573,DB01214
574,DB01216
575,DB01217
576,DB01219
577,DB01221
578,DB01222
579,DB01223
580,DB01224
581,DB01225
582,DB01228
583,DB01229
584,DB01231
585,DB01232
586,DB01233
587,DB01234
588,DB01235
589,DB01237
590,DB01238
591,DB01240
592,DB01241
593,DB01242
594,DB01244
595,DB01246
596,DB01248
597,DB01250
598,DB01254
599,DB01255
600,DB01258
601,DB01259
602,DB01260
603,DB01261
604,DB01262
605,DB01267
606,DB01268
607,DB01275
608,DB01283
609,DB01291
610,DB01296
611,DB01320
612,DB01327
613,DB01351
614,DB01356
615,DB01359
616,DB01364
617,DB01367
618,DB01390
619,DB01394
620,DB01395
621,DB01399
622,DB01400
623,DB01403
624,DB01406
625,DB01410
626,DB01427
627,DB01440
628,DB01551
629,DB01576
630,DB01577
631,DB01579
632,DB01590
633,DB01611
634,DB01620
635,DB01623
636,DB01628
637,DB02546
638,DB04571
639,DB04844
640,DB04861
641,DB04865
642,DB04868
643,DB05271
644,DB06196
645,DB06201
646,DB06268
647,DB06287
648,DB06718
649,DB06803
650,DB08799
651,DB08800
652,DB08801
653,DB08802
654,DB08803
655,DB08804
656,DB08820
657,DB08824
658,DB08835
659,DB08896
660,DB08901
661,DB08906
662,DB08907
