ID,Name,Drug,SMILES
28,gefitinib,DB00741,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
29,sorafenib,DB00813,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1
30,sunitinib,DB00927,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1
31,celecoxib,DB00295,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
32,sildenafil citrate,DB00917,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O
33,rosuvastatin calcium,DB00519,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21
34,valsartan,DB00349,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21
35,imatinib mesylate,DB00831,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
36,sitagliptin phosphate,DB01327,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1
37,atorvastatin calcium,DB00819,CC(=O)Nc1nnc(S(N)(=O)=O)s1
38,erlotinib hydrochloride,DB00255,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
39,quetiapine fumarate,DB00501,CN/C(=N/C#N)NCCSCc1nc[nH]c1C
40,ezetimibe,DB00959,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12
41,dasatinib,DB00712,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
42,venlafaxine hydrochloride,DB01254,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
43,acebutolol,DB00533,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1
44,acetaminophen,DB00795,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
45,acetazolamide,DB00814,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1
46,acetylcholine,DB00401,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-]
47,adenosine,DB00201,Cn1c(=O)c2c(ncn2C)n(C)c1=O
48,allopurinol,DB01388,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C
49,amantadine,DB01045,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C
50,amiloride,DB01138,O=C1C(CC[S+]([O-])c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1
51,amiodarone,DB01050,CC(C)Cc1ccc(C(C)C(=O)O)cc1
52,amitriptyline,DB00421,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@@H]21
53,amphetamine,DB00759,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12
54,amsacrine,DB00623,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
55,antipyrine,DB00668,CNC[C@H](O)c1ccc(O)c(O)c1
56,aspirin,DB00358,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1
57,betamethasone,DB01035,CCN(CC)CCNC(=O)c1ccc(N)cc1
58,bezafibrate,DB00428,CN(N=O)C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O
59,biperiden,DB01268,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C
60,bromocriptine,DB00563,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
61,bumetanide,DB01435,Cc1cc(=O)n(-c2ccccc2)n1C
62,buprenorphine,DB00704,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5
63,buspirone,DB01182,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1
64,caffeine,DB00586,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
65,carbamazepine,DB00973,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1
66,cefazolin,DB01234,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
67,ceftriaxone,DB00683,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2
68,chloramphenicol,DB01261,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F
69,chloroquine,DB01337,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1
70,chlorpheniramine,DB01577,CN[C@@H](C)Cc1ccccc1
71,chlorpromazine,DB00783,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
72,chlorpropamide,DB00457,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
73,choline,DB00908,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12
74,cimetidine,DB01241,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
75,ciprofloxacin,DB00184,CN1CCC[C@H]1c1cccnc1
76,clofazimine,DB00343,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1
77,clomiphene,DB01396,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6CC[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O
78,clomipramine,DB00740,Nc1nc2ccc(OC(F)(F)F)cc2s1
79,clonidine,DB00571,CC(C)NCC(O)COc1cccc2ccccc12
80,clotrimazole,DB00227,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
81,clozapine,DB01132,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1
82,cocaine,DB00921,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5
83,colchicine,DB00371,CCCC(C)(COC(N)=O)COC(N)=O
84,cytarabine,DB00544,O=c1[nH]cc(F)c(=O)[nH]1
85,daunorubicin,DB00594,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N
86,desipramine,DB01043,CC12CC3CC(C)(C1)CC(N)(C3)C2
87,dexamethasone,DB01075,CN(C)CCOC(c1ccccc1)c1ccccc1
88,dextromethorphan,DB01165,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
89,diazepam,DB01118,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1
90,diclofenac,DB00696,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
91,diethylstilbestrol,DB00206,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
92,diflunisal,DB01065,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
93,digitoxin,DB00694,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
94,digoxin,DB04557,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
95,dihydroergotamine,DB00158,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1
96,diltiazem,DB00177,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C
97,diphenhydramine,DB00584,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O
98,disopyramide,DB01032,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1
99,domperidone,DB00472,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
100,dopamine,DB00655,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O
101,doxepin,DB00997,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
102,doxorubicin,DB00281,CCN(CC)CC(=O)Nc1c(C)cccc1C
103,doxycycline,DB00810,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2
104,enalapril,DB00688,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2
105,epinephrine,DB00811,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1
106,ergotamine,DB01098,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O
107,erythromycin,DB01037,C#CCN(C)[C@H](C)Cc1ccccc1
108,estradiol,DB00887,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
109,estramustine,DB00539,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1
110,"estrogens, conjugated (usp)",DB00903,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
111,estrone,DB00254,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21
112,ethacrynic acid,DB01183,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5
113,ethinyl estradiol,DB00176,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1
114,etoposide,DB00175,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
115,fentanyl,DB00344,CNCCCC1c2ccccc2C=Cc2ccccc21
116,fluorouracil,DB01103,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12
117,fluoxetine,DB00882,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1
118,flupenthixol,DB00285,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1
119,fluphenazine,DB00829,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
120,flurazepam,DB00622,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1
121,flurbiprofen,DB00758,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1
122,folic acid,DB01054,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1
123,furosemide,DB01200,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12
124,glyburide,DB00925,CC(COc1ccccc1)N(CCCl)Cc1ccccc1
125,glycerol,DB00790,CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)OCC
126,haloperidol,DB03783,CCOc1ccc(NC(C)=O)cc1
127,hydrocortisone,DB00537,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
128,ibuprofen,DB01023,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl
129,imipramine,DB00443,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
130,indomethacin,DB00197,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
131,ivermectin,DB00641,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
132,ketamine,DB00441,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1
133,ketoconazole,DB00502,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
134,ketoprofen,DB01595,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1
135,levodopa,DB00342,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
136,lidocaine,DB00458,CN(C)CCCN1c2ccccc2CCc2ccccc21
137,loperamide,DB00471,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1
138,lovastatin,DB00715,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1
139,maprotiline,DB00199,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
140,mebendazole,DB00115,C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\[N-][C@@](C)([C@@H]5N=C1[C@](C)(CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]1[C@@H](CO)O[C@H](n6cnc7cc(C)c(C)cc76)[C@@H]1O)[C@H]5CC(N)=O)[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O.[C-]#N.[Co+3]
141,melatonin,DB00373,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1
142,memantine,DB00490,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
143,meprobamate,DB00968,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O
144,methadone,DB00559,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO
145,methamphetamine,DB00451,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
146,methionine,DB00950,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
147,methotrexate,DB00934,CNCCCC12CCC(c3ccccc31)c1ccccc12
148,methyldopa,DB00967,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1
149,methylprednisolone,DB01229,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C
150,metoprolol,DB01174,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
151,metyrapone,DB01196,C[C@]12CC[C@@H]3c4ccc(OC(=O)N(CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
152,miconazole,DB01095,CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21
153,midazolam,DB01104,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21
154,midodrine,DB00749,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3
155,mitoxantrone,DB00637,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
156,morphine,DB01114,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
157,ipratropium,DB00398,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
158,naloxone,DB01016,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
159,naltrexone,DB00203,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12
160,naproxen,DB00361,CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2
161,neostigmine,DB00541,CC[C@]1(O)C[C@@H]2C[N@@](CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
162,niacin,DB01211,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
163,nicardipine,DB00500,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1
164,nicotine,DB00675,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
165,nifedipine,DB00446,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
166,nitrazepam,DB00122,C[N+](C)(C)CCO
167,nitrendipine,DB01136,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12
168,norepinephrine,DB01149,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1
169,norfloxacin,DB01224,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1
170,ouabain,DB01400,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1
171,oxprenolol,DB01244,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1
172,pancuronium,DB01184,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1
173,phenacetin,DB00518,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1
174,phenformin,DB00860,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
175,phenobarbital,DB01011,CC(C)(C(=O)c1cccnc1)c1cccnc1
176,phenoxybenzamine,DB00280,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
177,phenylbutazone,DB00439,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1
178,phenytoin,DB00477,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
179,pimozide,DB00788,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1
180,piroxicam,DB00412,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1
181,prazosin,DB01212,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CS[C@H]12)c1csc(N)n1
182,prednisolone,DB00523,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1
183,prednisone,DB00690,CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21
184,probenecid,DB00277,Cn1c(=O)c2[nH]cnc2n(C)c1=O
185,procainamide,DB00321,CN(C)CCC=C1c2ccccc2CCc2ccccc21
186,progesterone,DB00317,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
187,promethazine,DB00320,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
188,propafenone,DB00669,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1
189,propranolol,DB01242,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
190,protriptyline,DB01394,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2
191,quercetin,DB00333,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
192,quinacrine,DB00624,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O
193,quinidine,DB00845,CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1
194,quinine,DB00602,CC[C@@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2.CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(CC[C@H](C)[C@@H](C(C)C)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@@]45O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O
195,ranitidine,DB00570,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
196,reserpine,DB00608,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
197,ribavirin,DB00575,Clc1cccc(Cl)c1NC1=NCCN1
198,riboflavin,DB00590,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC
199,rifampin,DB00936,O=C(O)c1ccccc1O
200,sulfasalazine,DB00678,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
201,selegiline,DB00564,NC(=O)N1c2ccccc2C=Cc2ccccc21
202,spironolactone,DB00134,CSCC[C@H](N)C(=O)O
203,streptozocin,DB00396,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
