ID,Disease
202,D010510
203,D017490
204,D018879
205,D003863
206,D054221
207,D013742
208,D019226
209,D009362
210,D013923
211,D020244
212,D003480
213,D018798
214,D001778
215,D016553
216,D011041
217,D043183
218,D009437
219,D009325
220,D003128
221,D005902
222,D002771
223,D018232
224,D020300
225,D019578
226,D049188
227,D018149
228,D007876
229,D002385
230,D003294
231,D011020
232,D019586
233,D003711
234,D004831
235,D004681
236,D015427
237,D006950
238,D005873
239,D002446
240,D012559
241,D019964
242,D014456
243,D003221
244,D011537
245,D006261
246,D009617
247,D000347
248,D018207
249,D013915
250,D001145
251,D002972
252,D006974
253,D028226
254,D013616
255,D002006
256,D004213
257,D003967
258,D053609
259,D002295
260,D018785
261,D007008
262,D009369
263,D007938
264,D010911
265,D012859
266,D015431
267,D000141
268,D010211
269,D010505
270,D015211
271,D015419
272,D020964
273,D000419
274,D020521
275,D007922
276,D005076
277,D004775
278,D000224
279,D009447
280,D006712
281,D015877
282,D019969
283,D012516
284,D007057
285,D050197
286,D008088
287,D003457
288,D003925
289,D002289
290,D004892
291,D005923
292,D006932
293,D053098
294,D008171
295,D014437
296,D018805
297,D006962
298,D018500
299,D015658
300,D000172
301,D002169
302,D008114
303,D006504
304,D007888
305,D004938
306,D008103
307,D009393
308,D007946
309,D062787
310,D007172
311,D007674
312,D015430
313,D009205
314,D001264
315,D004421
316,D013163
317,D002545
318,D054038
319,D010916
320,D002292
321,D006463
322,D006509
323,D001037
324,D013132
325,D013342
326,D020159
327,D000138
328,D010612
329,D008569
330,D004829
331,D001762
332,D011559
333,D006996
334,D020326
335,D017202
336,D003555
337,D014717
338,D002780
339,D012871
340,D012541
341,D019851
342,D000230
343,D004802
344,D012817
345,D001259
346,D010033
347,D004820
348,D007680
349,D001987
350,D001072
351,D010292
352,D013345
353,D003110
354,D018476
355,D000196
356,D007592
357,D014549
358,D000075222
359,D002637
360,D055623
361,D013313
362,D006073
363,D009846
364,D009220
365,D009123
366,D005764
367,D010392
368,D015001
369,D050031
370,D009128
371,D017492
372,D011595
373,D000326
374,D006869
375,D052536
376,D003251
377,D002526
378,D008175
379,D004719
380,D003244
381,D000860
382,D034381
383,D000077195
384,D007037
385,D013924
386,D052016
387,D013700
388,D012175
389,D011141
390,D002303
391,D001477
392,D001528
393,D011183
394,D010264
395,D065768
396,D013968
397,D004827
398,D055728
399,D010001
400,D006330
401,D001196
402,D019966
403,D007873
404,D008010
405,D001068
406,D014973
407,D001172
408,D006948
409,D006319
410,D008228
411,D012532
412,D006828
413,D006177
414,D018366
415,D015428
416,D008180
417,D002602
418,D003586
419,D016393
420,D009293
421,D005356
422,D006966
423,D011507
424,D012769
425,D007006
426,D009503
427,D013575
428,D058186
429,D002822
430,D008305
431,D004165
432,D000341
433,D001289
434,D014555
435,D053608
436,D019584
437,D015451
438,D016757
439,D003929
440,D012893
441,D003371
442,D000707
443,D003248
444,D012678
445,D009127
446,D012552
447,D041781
448,D007011
449,D020385
450,D005910
451,D003092
452,D020388
453,D011115
454,D006929
455,D011704
456,D017116
457,D006069
458,D003453
459,D006526
460,D020194
461,D010930
462,D011471
463,D003866
464,D006331
465,D007970
466,D011125
467,D007645
468,D006937
469,D001342
470,D020246
471,D004417
472,D054198
473,D017109
474,D010019
475,D006086
476,D009956
477,D025241
478,D014406
479,D001424
480,D002051
481,D054556
482,D020513
483,D012507
484,D054058
485,D006402
486,D008206
487,D018288
488,D003966
489,D012804
490,D013203
491,D011546
492,D009845
493,D014917
494,D009889
495,D007511
496,D006980
497,D015459
498,D006975
499,D003231
500,D054179
501,D018357
502,D003093
503,D006561
504,D019693
505,D016585
506,D020734
507,D001002
508,D015228
509,D011297
510,D065627
511,D009404
512,D004244
513,D019954
514,D001766
515,D018908
516,D011081
517,D012131
518,D005767
519,D017093
520,D018263
521,D008107
522,D010146
523,D016055
524,D055154
525,D009298
526,D002386
527,D005271
528,D011225
529,D012008
530,D010996
531,D009122
532,D008133
533,D003554
534,D012640
535,D001168
536,D018487
537,D013226
538,D008589
539,D007003
540,D014581
541,D003117
542,D056729
543,D007859
544,D008581
545,D001764
546,D010284
547,D008708
548,D002280
549,D010493
550,D055752
551,D003424
552,D017515
553,D012148
554,D009290
555,D011695
556,D019970
557,D001176
558,D003921
559,D009133
560,D053579
561,D006029
562,D009436
563,D000152
564,D014594
565,D015043
566,D052537
567,D012512
568,D017379
569,D017241
570,D005921
571,D004211
572,D006976
573,D013733
574,D002277
575,D003328
576,D001249
577,D002375
578,D010291
579,D002647
580,D013035
581,D003234
582,D017563
583,D010024
584,D006470
585,D001930
586,D003872
587,D012595
588,D013322
589,D010554
590,D009374
591,D001759
592,D015352
593,D003930
594,D003638
595,D006333
596,D009765
597,D007681
598,D005119
599,D011618
600,D007431
601,D007676
602,D012563
603,D001228
604,D013280
605,D005234
606,D008269
607,D007964
608,D005317
609,D016481
610,D002971
611,D001943
612,D006606
613,D016736
614,D008268
615,D008113
616,D012555
617,D001763
618,D014402
619,D000236
620,D007918
621,D005315
622,D009461
623,D009421
624,D009091
625,D011014
626,D006311
627,D009373
628,D028361
629,D005313
630,D016171
631,D016491
632,D009396
633,D024821
634,D010673
635,D018771
636,D008654
637,D006111
638,D015433
639,D013617
640,D003645
641,D018197
642,D011654
643,D008325
644,D003876
645,D004830
646,D020301
647,D020190
648,D054537
649,D017285
650,D001162
651,D003003
652,D007634
653,D012614
654,D014846
655,D012019
656,D007035
657,D015473
658,D015746
659,D003693
660,D054218
661,D009459
662,D014648
663,D020795
664,D006945
665,D015674
666,D004195
667,D056693
668,D014141
669,D007022
670,D010302
671,D019636
672,D020329
673,D005198
674,D006725
675,D004443
676,D008223
677,D009389
678,D001714
679,D006471
680,D009886
681,D010003
682,D013276
683,D017887
684,D018856
685,D029424
686,D002658
687,D013919
688,D015179
689,D014890
690,D020522
691,D000744
692,D012164
693,D014693
694,D020961
695,D002779
696,D013610
697,D008582
698,D003550
699,D046589
700,D000857
701,D000749
702,D009468
703,D003875
704,D010229
705,D053099
706,D014786
707,D009902
708,D014010
709,D005756
710,D009361
711,D001327
712,D056725
713,D051474
714,D014839
715,D006949
716,D007024
717,D013927
718,D004342
719,D005759
720,D013920
721,D000799
722,D012852
723,D001855
724,D007177
725,D006528
726,D063730
727,D006947
728,D009182
729,D050171
730,D010243
731,D000437
732,D009157
733,D053206
734,D003218
735,D009422
736,D016584
737,D003324
738,D001247
739,D000014
740,D018273
741,D015835
742,D005128
743,D001927
744,D004169
745,D005909
746,D012120
747,D020163
748,D012208
749,D066126
750,D002653
751,D020514
752,D014435
753,D001169
754,D010282
755,D009394
756,D004697
757,D031249
758,D002312
759,D003882
760,D016878
761,D052556
762,D006556
763,D006323
764,D009190
765,D003865
766,D005877
767,D001929
768,D005687
769,D011565
770,D017449
771,D000544
772,D002546
773,D000787
774,D009212
775,D006953
776,D008181
777,D000848
778,D003924
779,D017114
780,D012206
781,D016403
782,D001986
783,D011778
784,D017229
785,D000743
786,D011605
787,D003873
788,D001008
789,D014202
790,D005892
791,D005483
792,D002543
793,D009140
794,D010490
795,D004409
796,D012772
797,D006130
798,D014820
799,D007945
800,D014652
801,D000312
802,D006394
803,D031845
804,D001474
805,D012868
806,D005359
807,D007174
808,D005705
809,D040181
810,D008288
811,D002862
812,D065626
813,D003556
814,D004422
815,D006816
816,D001254
817,D006345
818,D013651
819,D014257
820,D002644
821,D012628
822,D007644
823,D012373
824,D011019
825,D001281
826,D004890
827,D020230
828,D007249
829,D000740
830,D004832
831,D003072
832,D008575
833,D009165
834,D006100
835,D010300
836,D009798
837,D002311
838,D006501
839,D006527
840,D013274
841,D009135
842,D065631
843,D014987
844,D008947
845,D006505
846,D009759
847,D054437
848,D001282
849,D020257
850,D013964
851,D002177
852,D007896
853,D020820
854,D020422
855,D020138
856,D007319
857,D002769
858,D000015
859,D013922
860,D015470
861,D006327
862,D010523
863,D056784
864,D020821
865,D008178
866,D000380
867,D013174
868,D010437
869,D016112
870,D015499
871,D010383
872,D006258
873,D020915
874,D001745
875,D003551
876,D010373
877,D003414
878,D006934
879,D012509
880,D005355
881,D011230
882,D013036
883,D006940
884,D002037
885,D006987
886,D007565
887,D017674
888,D002318
889,D007333
890,D004401
891,D008105
892,D016411
893,D000855
894,D010689
895,D000562
896,D008219
897,D002471
898,D002389
899,D014657
900,D014103
901,D013119
902,D009102
903,D023921
904,D020165
905,D012770
906,D004715
907,D011111
908,D009069
909,D012141
910,D003704
911,D012878
912,D002493
913,D013118
914,D006970
915,D006461
916,D012061
917,D006312
918,D009357
919,D055953
